name;population;employed;poverty_percentage;median_household_income;domestic_product;daily_miles_traveled
Alameda;1636194;794200;9.4;108971;130465391000;35245220
Alpine;1184;470;15.8;87570;94933000;323540
Amador;39837;13830;11.1;68159;1612883000;1113200
Butte;205592;86200;16.6;62982;8094801000;4379640
Calaveras;44890;21560;13.5;68298;1368814000;1147160
Colusa;21771;9560;11.4;60725;1194522000;1871010
Contra Costa;1147653;528700;8.8;110595;73533985000;21915060
Del Norte;26599;8920;21.4;48108;721464000;888900
El Dorado;189006;90100;8.8;87689;7378023000;4126670
Fresno;1011499;426100;19.4;63140;41821044000;21954350
Glenn;28636;11450;15.5;56741;1092967000;1393040
Humboldt;134047;55800;19.4;53924;5170257000;3525070
Imperial;179476;57700;17.3;50970;8412312000;6203970
Inyo;18896;8040;12.8;62381;1184420000;1673400
Kern;907476;365300;18.5;57926;47528806000;25222880
Kings;151018;53100;17.7;60810;6074335000;4404510
Lake;66800;26590;16.5;55801;1877770000;1885680
Lassen;28275;8340;18.8;56923;1080110000;1214050
Los Angeles;9761210;4712300;14.1;77356;711874201000;190801970
Madera;158148;60100;20.4;60241;5948983000;4847310
Marin;252959;127400;7.8;118472;28590581000;6766270
Mariposa;16935;7330;14.1;60377;752739000;567090
Mendocino;89164;34930;16.1;57516;3307837000;2801010
Merced;285337;106100;21.9;54703;8986693000;7731690
Modoc;8527;3070;19.9;49273;460062000;477210
Mono;13156;8810;9.8;70945;1048415000;962990
Monterey;430368;225700;12.1;81404;26112268000;10203420
Napa;134637;69400;9;94127;10062765000;2994520
Nevada;100720;45640;11.8;77220;4063224000;2991420
Orange;3137164;1529900;9.9;100210;238228949000;66868320
Placer;410305;187800;6.6;103588;22716449000;10014710
Plumas;18996;7090;13;58154;867066000;755190
Riverside;2439234;1081300;11.6;78690;83850304000;57057650
Sacramento;1572453;700400;13;79611;86452222000;30520940
San Benito;65666;30700;8.9;95187;2418096000;1643040
San Bernardino;2182056;948400;13.2;74218;87551000000;60774600
San Diego;3269755;1525700;10.7;90756;224954460000;71150830
San Francisco;831703;557800;11.4;119776;200484675000;6131380
San Joaquin;786145;324400;12.3;79598;30175157000;17809370
San Luis Obispo;278348;133000;13.1;79688;15899992000;8340250
San Mateo;737644;441900;6.8;131151;142240790000;15229180
Santa Barbara;440557;217300;15.2;83185;28531154000;8916640
Santa Clara;1886079;1011100;6.9;141161;382333994000;34407250
Santa Cruz;262051;128900;10.6;90370;14951016000;4748450
Shasta;179436;69300;14;60187;7496153000;5119020
Sierra;3193;1290;12.3;60659;82035000;326790
Siskiyou;43548;16240;16.8;50069;1535958000;2754450
Solano;443749;192100;10;87348;26796029000;13495690
Sonoma;478174;240500;9.1;92999;28339324000;11009070
Stanislaus;545939;225500;14.1;73151;21953592000;11924970
Sutter;98952;44700;15.5;63246;3605674000;2350030
Tehama;64271;24210;15.6;53654;1871437000;2640090
Trinity;15939;4410;19.1;45508;359132000;795500
Tulare;475064;188800;18.7;57398;17361025000;10785000
Tuolumne;54590;19240;13.2;61396;2228425000;1714730
Ventura;825653;393000;8.9;95819;48642160000;17024510
Yolo;220880;105300;14.8;76247;14144241000;5676050
Yuba;82677;30300;15.6;60764;3012115000;1971160
